task_id,task_name,task_url,notebook_url,crit1_correctness,crit2_problem_statement,crit3_documentation,crit4_model_coverage,crit5_discrimination,total_0_10,distinct_models,min_score,max_score,notes_crit1,notes_crit2,notes_crit3,notes_crit4,notes_crit5
715,FailureSensorIQ_SelectionAccuracy_Benchmark_Task,https://www.kaggle.com/benchmarks/tasks/andrewmingwang/failuresensoriq-selectionaccuracy-benchmark-task,https://www.kaggle.com/code/andrewmingwang/failuresensor-selectionaccuracy,1,0,1,2,2,6,30,0.0,0.6598049837486457,"Real model graded: llm.prompt(schema)->predicted_letters vs gt_letters from 'correct' col on ibm FailureSensorIQ. But exact ordered list match, no normalization; final metric a single qtype subset.","Prose is only boilerplate: 'main task...orchestrates per-row evaluation and returns final score.' No capability named, no motivation, no gap. Reader cannot tell what is measured.","Dataset source (ibm-research/FailureSensorIQ) and scoring logic visible in code; inline comments on caching/robustness. No markdown walkthrough, no schema, leaderboard metric qtype_mcp1_positive unexplained.",30 distinct models run,score gap 0.0->0.6598049837486457 vs eps=0.05 (pass)
716,FailureSensorIQ_PerturbationSimple_Benchmark_Task,https://www.kaggle.com/benchmarks/tasks/andrewmingwang/failuresensoriq-perturbationsimple-benchmark-task,https://www.kaggle.com/code/andrewmingwang/failuresensor-perturbationsimple,1,0,1,2,2,6,30,0.0,0.6790401199850019,"Real model graded: llm.prompt->predicted_letters vs gt_letters from 'correct' flags; score=mean is_correct on pert_simple. Verification is order-sensitive exact-match, no normalization (confound).","Prose is boilerplate only: 'main task...orchestrates per-row evaluation and returns final score.' Names no capability, motivation, or gap; reader can't tell what it measures.","Dataset source visible in code (ibm-research/FailureSensorIQ perturbed_simple) and scoring in code, but no markdown explaining methodology, schema, perturbation, or scoring; sparse dev comments.",30 distinct models run,score gap 0.0->0.6790401199850019 vs eps=0.05 (pass)
801,count_people,https://www.kaggle.com/benchmarks/tasks/spencersgoogle/count-people,https://www.kaggle.com/code/spencersgoogle/new-benchmark-task-fe767,2,1,1,0,0,4,0,,,"Vision model prompted on real image; regex \b(five|5)\b with word-boundary guards against 15; verifiable GT (5 people), tight construct.",Prose names capability (count people in image) and accept rule but gives no motivation or gap vs existing evals.,"Image URL source + regex scoring in docstring/comments, but no schema/edge-case detail; partial.",0 distinct models run,<=1 model -> 0
811,Protein Folding for KAGGLE,https://www.kaggle.com/benchmarks/tasks/nicholaskanggoog/protein-folding-for-kaggle,https://www.kaggle.com/code/nicholaskanggoog/new-benchmark-task-a3b7d,1,1,1,0,0,3,0,,,Grades real model output but verification is fragile (bare '(?i)yes' substring anywhere) and the 'valid protein' ground truth is scientifically contested for a 6-residue peptide; rejects defensible nuanced/no answers.,'Asks the LLM if the amino acid sequence KAGGLE can form a valid protein' states what is asked but no motivation or gap; novelty/joke framing only.,"Only a one-line docstring duplicating the prose; single prompt+assertion is self-evident but no scoring rationale, provenance, or methodology.",0 distinct models run,<=1 model -> 0
830,Class Variable vs Instance Variable,https://www.kaggle.com/benchmarks/tasks/haidermn16/class-variable-vs-instance-variable,https://www.kaggle.com/code/haidermn16/task-one-off-array-indexing,1,1,0,0,0,2,0,,,"Real model graded but via brittle substring keyword checks (assert_in 'class variable','__init__'); presence of keywords conflated with understanding, correct alt phrasings fail.","'Classic Python OOP confusion point' names topic with minimal motivation, no gap.","Generic gotcha batch, copy-paste artifact (first cell mislabeled 'Off-by-One'); no methodology/scoring rationale documented.",0 distinct models run,<=1 model -> 0
999,WWTP Equipment Material Selection,https://www.kaggle.com/benchmarks/tasks/mehmetisik/wwtp-equipment-material-selection,https://www.kaggle.com/code/mehmetisik/wwtp-equipment-material-selection,0,1,1,0,0,2,0,,,"Clear construct mismatch: assert_in('b') passes on the letter b in almost any English text (e.g. 'better','brief') and 'corrosion' is echoed from prompt; check does not actually verify the correct material choice.",One sentence names capability (material selection in corrosive env) with basic motivation; no broader question/gap.,"Description + docstring state intent (H2S, SS316 correct), but no dataset/provenance or scoring-edge documentation. Partial.",0 distinct models run,<=1 model -> 0
1409,spiral_neighbor_sum_square,https://www.kaggle.com/benchmarks/tasks/mihaimaruseac/spiral-neighbor-sum,https://www.kaggle.com/code/mihaimaruseac/numbers-on-a-square-grid,1,1,0,0,0,2,0,,,"Deterministic GT (16408) via assert_equal, real model solves. But exact int(response) match with no normalization fails on any extra text -> instruction-following confound.","Description ('Asks the LLM tto solve the spiral grid puzzle') names task minimally, no motivation/gap.","No doc of how GT=16408 was derived, no markdown; reader must reverse-engineer.",0 distinct models run,<=1 model -> 0
1436,generate_and_judge_horse_art,https://www.kaggle.com/benchmarks/tasks/haryaksha/generate-and-judge-horse-art,https://www.kaggle.com/code/haryaksha/new-benchmark-task-e1e9f,1,1,1,0,0,3,0,,,"Model generates ASCII art, isolated judge returns bool; real model output judged but single subjective binary, no normalization, and only asserts on judge==None, so correctness barely enforced.",One-line description states what it does (generate+judge horse art) but no motivation or gap.,"Docstring/comments explain the isolated-judge approach, but no scoring rules, dataset, or methodology detail.",0 distinct models run,<=1 model -> 0
1448,dynamic_hexalock_audit,https://www.kaggle.com/benchmarks/tasks/chrissyserb/dynamic-hexalock-audit,https://www.kaggle.com/code/chrissyserb/timestamp-memory-audit,0,0,0,0,0,0,0,,,"Prompt CONTAINS the answer ('Christine Classy','1.000') and asks model to echo it; assert_in checks it's present -> pure echo/format test, no capability. One cell even stubs response='Christine Classy'. No real GT.","Prose 'Automatically discovers and audits all live models for the CIW 1.000 anchor' is vanity/nonsense; no real capability, motivation, or task meaning.","Markdown is promotional ('Christine Classy World') with fake audit tables; no dataset, no real methodology, no meaningful scoring docs.",0 distinct models run,<=1 model -> 0
1551,NT: Tok Torture Test,https://www.kaggle.com/benchmarks/tasks/sangrampatil5150/nt-tok-torture-test,https://www.kaggle.com/code/sangrampatil5150/code/deleted/107123216,2,0,0,0,0,2,0,,,"Deterministic: model prompted to count 'e', schema=int forces integer, assert_equal==68. Exact verifiable check tightly aligned with the claimed letter-counting/tokenization capability.",Empty description — no problem statement.,"No notebook source available and no task-page docs; zero documentation of dataset, method, or scoring.",0 distinct models run,<=1 model -> 0
1679,"Trolley problem (0 - politician, 1 - scientist)",https://www.kaggle.com/benchmarks/tasks/nikitamanaenkov/trolley-problem-0-politician-1-scientist,https://www.kaggle.com/code/nikitamanaenkov/trolley-problem-0-politician-1-scientist,0,0,0,2,2,4,22,0.0,1.0,"No ground truth: both 0 and 1 accepted; assertion only checks choice in (0,1). It's a subjective preference poll, never graded vs a correct answer.",Task page description is explicitly '(empty description)'; only a title exists. Empty description = 0.,No task prose; notebook is code-only with zero markdown. No dataset/method/scoring docs; reader must reverse-engineer code.,22 distinct models run,score gap 0.0->1.0 vs eps=0.05 (pass)
1691,"Trolley problem (0 - childn, 1 - elderly person)",https://www.kaggle.com/benchmarks/tasks/nikitamanaenkov/trolley-problem-0-childn-1-elderly-person,https://www.kaggle.com/code/nikitamanaenkov/trolley-problem-0-child-1-elderly-person,0,0,0,2,2,4,20,0.0,1.0,"No ground truth: both choice=0 and 1 pass assertions equally; only JSON formatting/instruction-following is graded, not any verifiable capability.","Task page description is empty; title is a bare label, no problem statement or motivation.","No dataset provenance, methodology, scoring rationale, or markdown; notebook is code-only, task page empty.",20 distinct models run,score gap 0.0->1.0 vs eps=0.05 (pass)
1796,define_dharma,https://www.kaggle.com/benchmarks/tasks/thevarunjoshi/define-dharma,https://www.kaggle.com/code/thevarunjoshi/identify-dharma-benchmark-task,1,0,0,0,0,1,0,,,Model called once; assert response lacks 'religion'. Fragile substring on contested/opinionated 'ground truth'; single item; measures word-avoidance not a real capability.,"Prose only restates assertion mechanics (asks word, forbids 'religion'); names no target capability, motivation, or gap.","No documentation; no dataset; notebook is just the eval code, scoring rationale only in an opinionated expectation string.",0 distinct models run,<=1 model -> 0
2235,persona_constraint_adherence,https://www.kaggle.com/benchmarks/tasks/ayushrudani/persona-constraint-adherence,https://www.kaggle.com/code/ayushrudani/persona-constraint-adherence,1,1,1,0,0,3,0,,,"Real multi-turn output judged, but 'avoided letter e' is deterministically checkable yet delegated to fragile LLM judge; also bundles persona+constraint+self-correction. Genuine eval, moderate confound.",Prose names capability (maintain persona/constraints multi-turn under temptation) with basic motivation; no broader gap.,Notebook comments explain trap words and numbered steps; criteria listed. No dataset/schema; brief prose. Partial.,0 distinct models run,<=1 model -> 0
2247,ct_1_to_3_,https://www.kaggle.com/benchmarks/tasks/aminmohamedmohami/ct-1-to-3,https://www.kaggle.com/code/aminmohamedmohami/new-benchmark-task-72215,1,0,0,0,0,1,0,,,"Model is called and graded, but assert_in('1'/'2'/'3') is trivially fragile: any text with those digits passes (e.g. '123 reasons'); near-useless verification.",Task page description is empty.,"No documentation of dataset, protocol, or scoring beyond the trivial three asserts in code.",0 distinct models run,<=1 model -> 0
2418,analyze_solved_puzzle_and_identify_traffic_signs,https://www.kaggle.com/benchmarks/tasks/gpreda/analyze-solved-puzzle-and-identify-traffic-signs,https://www.kaggle.com/code/gpreda/analyze-solved-puzzle-and-identify-traffic-signs,1,0,0,2,2,5,14,0.0,0.6666666666666666,"Real model graded via LLM judge on 3 specific sign/location criteria (verifiable image content), but conflates puzzle-reconstruction+sign-ID+location; free-text judge confound.",Task page description is empty (only title present); no problem statement at all = 0.,"No task-page text; notebook has only code, zero markdown/comments on dataset provenance, method, or scoring; must reverse-engineer.",14 distinct models run,score gap 0.0->0.6666666666666666 vs eps=0.05 (pass)
2423,read_license_plate_number,https://www.kaggle.com/benchmarks/tasks/gpreda/read-license-plate-number,https://www.kaggle.com/code/gpreda/read-the-license-plate-number,2,0,0,2,2,6,15,0.0,1.0,"Real llm.prompt(image) call graded by 2-criterion judge vs concrete ground-truth plates WB 12C 7470 / WB 04D 0182; verifiable, aligned to plate-reading capability.",Task page description is '(empty description)'; no problem statement at all.,"Empty task page; notebook is pure code with no markdown, no dataset provenance/schema or scoring explanation; reader must reverse-engineer.",15 distinct models run,score gap 0.0->1.0 vs eps=0.05 (pass)
2483,Marketing Performance Insight,https://www.kaggle.com/benchmarks/tasks/lindseiwalsh1019/marketing-performance-insight,https://www.kaggle.com/code/lindseiwalsh1019/final-marketing-performance-insight,1,1,0,0,0,2,0,,,"Model genuinely prompted+graded, but 'ground truth' is just substring match of >=2 of 7 generic keywords; no real verifiable answer, fragile proxy easily passed without reasoning.",Prose names capability (business insights from marketing metrics) with minimal motivation; no broader question or gap.,"Notebook is code-only, no markdown; no dataset provenance, methodology, or scoring rationale documented.",0 distinct models run,<=1 model -> 0
2524,calculate_test_percentage,https://www.kaggle.com/benchmarks/tasks/karishmaby/calculate-test-percentage,https://www.kaggle.com/code/karishmaby/code/deleted/109589155,2,0,0,0,0,2,0,,,"Model output (schema=int) graded by assert_equal vs verifiable GT 75 (45/60). Deterministic, aligned. Single trivial arithmetic item but valid construct.",Task page description empty.,No notebook source; no dataset/method/scoring documentation at all.,0 distinct models run,<=1 model -> 0
2536,project_euler_problem_9,https://www.kaggle.com/benchmarks/tasks/shreyav27/project-euler-problem-9,https://www.kaggle.com/code/shreyav27/t1pe-9-pythagorean-triplet-shreya-vaja,2,0,0,0,0,2,0,,,"Model called; assert_in('31875000') is the unique deterministic correct Project Euler 9 answer. Verifiable, tightly aligned to math reasoning; substring match minor confound.",Description empty.,"No documentation of method/scoring/provenance; single hardcoded prompt, no markdown.",0 distinct models run,<=1 model -> 0
2590,Injection Assault Arena - Indirect injection,https://www.kaggle.com/benchmarks/tasks/jacoporepossi/injection-assalut-arena-indirect-injection,https://www.kaggle.com/code/jacoporepossi/injection-assault-arena-indirect-injection,2,0,1,2,2,7,14,0.037037037037037035,0.700925925925926,Attacker model genuinely evaluated; deterministic ground truth: success iff defender grade==10 (line 233) with no essay written. Payload enters only via injected tool field; tightly aligned.,Task page description is empty ('(empty description)'); rubric: empty=0.,"No task-page prose; notebook has 1 markdown line (benchmark link). Method/scoring inferable from embedded system prompts + docstrings, but no narrative walkthrough/schema/metric docs.",14 distinct models run,score gap 0.037037037037037035->0.700925925925926 vs eps=0.05 (pass)
2603,Lewis Carroll P16: Silkworms and Syllogisms,https://www.kaggle.com/benchmarks/tasks/junesdata/lewis-carroll-p16-silkworms-and-syllogisms,https://www.kaggle.com/code/junesdata/premise-16-silkworms-and-syllogisms,2,1,2,0,0,5,0,,,Verifiable single conclusion (all future plans feasible); model genuinely prompted; keyword asserts + LLM-judge with explicit correct premise-chain criteria. Tightly aligned to deductive-reasoning claim.,Prose names the capability (chaining a 6-premise sorites to a conclusion) but offers no motivation or gap relative to existing logic-reasoning evals.,"Notebook markdown documents source (Carroll Symbolic Logic 1896), expected conclusion, and full step-by-step reasoning chain with premise order; judge criteria explicit.",0 distinct models run,<=1 model -> 0
2620,what_time_is_it,https://www.kaggle.com/benchmarks/tasks/gpreda/what-time-is-it,https://www.kaggle.com/code/gpreda/what-time-is-it,2,0,0,2,2,6,14,0.0,0.6666666666666666,"Real LLM gets clock image, response graded by judge LLM vs verifiable ground truth (10:08, 43s, Seiko brand); multi-dim rubric, tightly aligned to vision capability.",Task page description is empty ('(empty description)'); no problem statement at all.,"No task-page prose; notebook is code-only with no markdown/comments; dataset schema, methodology, scoring undocumented—must reverse-engineer.",14 distinct models run,score gap 0.0->0.6666666666666666 vs eps=0.05 (pass)
2626,evaluate_med_qa_dataset,https://www.kaggle.com/benchmarks/tasks/gpreda/evaluate-med-qa-dataset,https://www.kaggle.com/code/gpreda/medical-q-a-romanian-small-sample,1,0,1,2,2,6,9,0.5,9.426666666666666,"Real LLM output per row graded by LLM-judge vs gold Answer; verifiable but single-criterion free-form judge (not multi-dim), fragile confound.","Prose is one operational line 'Runs the medical QA evaluation...returns the score'; no motivation, no gap, near-empty.","Notebook has numbered comments: dataset path/provenance, column rename, judge scoring, accuracy agg; but no markdown cells/schema/metric interpretation.",9 distinct models run,score gap 0.5->9.426666666666666 vs eps=5.0 (pass)
2663,ascii_recognition_3x5,https://www.kaggle.com/benchmarks/tasks/beta3logic/exact-phrase-match-3,https://www.kaggle.com/code/beta3logic/ascii-letter-recognition-llm-task-6,1,0,0,2,2,5,24,0.0,100.0,"Real model graded (llm.prompt) vs verifiable filename->letter ground truth, but exact-match after only strip/upper conflates recognition with strict formatting.","Task page prose is only the vague title 'ASCII vs LLM Task Challenge'; no capability, motivation, or gap stated. Near-empty.","No notebook markdown cells, no methodology/scoring/schema docs; only a dataset path string. Reader must reverse-engineer code.",24 distinct models run,score gap 0.0->100.0 vs eps=5.0 (pass)
2734,ascii_recognition_amc_razor2,https://www.kaggle.com/benchmarks/tasks/beta3logic/exact-phrase-test-19,https://www.kaggle.com/code/beta3logic/ascii-letter-recognition-llm-task-26,1,0,0,2,2,5,24,0.0,76.92307692307693,Real model graded: llm.prompt on ASCII art vs ground-truth letter from LETTER_MAPPING. Verifiable but exact-match (strip().upper()) confounds with format/instruction-following.,"Prose is only the title fragment 'ASCII vs LLM Task Challenge'; no capability named, no motivation, no gap. Near-empty=0.",No notebook markdown at all (only code cells); empty task prose; dataset path given but no provenance/schema/scoring docs. Must reverse-engineer code.,24 distinct models run,score gap 0.0->76.92307692307693 vs eps=5.0 (pass)
3807,ifrs_15_revenue_recognition,https://www.kaggle.com/benchmarks/tasks/mdmahfuzsumon/ifrs-15-revenue-recognition,https://www.kaggle.com/code/mdmahfuzsumon/task-1-ifrs-15-revenue-recognition,2,0,0,0,0,2,0,,,Real model output graded by multi-criterion judge LLM vs known answer B + over-time recognition rationale; tightly aligned to IFRS15 claim.,Task page description empty.,"No markdown, no dataset/provenance/scoring docs; single hardcoded MC prompt, reader must read code.",0 distinct models run,<=1 model -> 0
3894,Psycho Mirror(R): The Shoggoth Protocol,https://www.kaggle.com/benchmarks/tasks/samvelkoch/psycho-mirror-r-shoggoth-update,https://www.kaggle.com/code/samvelkoch/psychomirror-the-shoggoth-protocol-r,0,0,1,2,2,5,12,0.5387281762751582,0.7952868325435176,"No verifiable ground truth; Shoggoth score just measures output drift between masked/jailbreak prompts (1-Jaccard). Sole assertion shoggoth>=0.0 is always true, grades nothing.",Task page description is '(empty description)' per input; empty = 0.,"No task-page prose; notebook is one code cell, no markdown. Inline Russian comments name steps/metric but scoring weights 0.70/0.20/0.10, provenance, protocol undocumented.",12 distinct models run,score gap 0.5387281762751582->0.7952868325435176 vs eps=0.05 (pass)
3906,battle_of_rovine_winner,https://www.kaggle.com/benchmarks/tasks/gpreda/battle-of-rovine-winner,https://www.kaggle.com/code/gpreda/battle-of-rovine-winner,1,0,1,2,2,6,12,0.0,0.75,Model answered then graded by 4-criteria LLM judge with verifiable historical facts (Mircea tactical/Ottoman strategic). But judge_llm=llm (same model judges self) and pass>0 floor weakens it.,Description empty. Title only 'battle_of_rovine_winner' — reader cannot tell capability/motivation.,"Notebook shows criteria and score formula in code; no markdown, no source for ground-truth claims or scoring interpretation.",12 distinct models run,score gap 0.0->0.75 vs eps=0.05 (pass)
3930,MMLU-PRO Benchmark r2grf1,https://www.kaggle.com/benchmarks/tasks/shepscientific/mmlu-pro-benchmark-v2kadd0,https://www.kaggle.com/code/shepscientific/hf-benchmark-mmlu-pro-v2kadd0,2,1,2,2,2,9,4,0.25,0.9,"Real model graded vs correct_letter on genuine TIGER-Lab/MMLU-Pro test set with robust regex letter extraction; verifiable, standard, well-aligned to multitask knowledge capability.","Names capability and HF source (10-choice, 57+ subjects) but it is a reproduction with no stated motivation or novel gap.","Notebook markdown cites source, documents sampling modes, few-shot construction, prompt format, and letter extraction; methodology reproducible.",4 distinct models run,score gap 0.25->0.9 vs eps=0.05 (pass)
3981,territorial_losses_1940_isolation_or_systemic_failure,https://www.kaggle.com/benchmarks/tasks/gpreda/territorial-losses-1940-isolation-or-systemic-failure,https://www.kaggle.com/code/gpreda/territorial-losses-1940-romania,2,0,0,2,0,4,12,1.0,1.0,Model called; graded by multi-dimensional LLM-judge over 5 explicit substantive criteria; score=passed/total. Aligned to claimed analytic-history capability.,Description empty.,"Judge criteria embedded in code but no prose/markdown documenting dataset, method, or metric interpretation.",12 distinct models run,score gap 1.0->1.0 vs eps=0.05 (fail)
4062,Trick Question Costs,https://www.kaggle.com/benchmarks/tasks/andrewmingwang/trick-question-costs,https://www.kaggle.com/code/andrewmingwang/trick-question-costs,1,1,1,2,2,7,11,5.325E-4,0.24206666666666665,"Model graded vs expected substrings (0,5,47) deterministically. But substring match unnormalized/fragile and headline metric is cost-per-correct, conflating capability with cost. Genuine w/ confounds.",Prose 'Whats the price of a correct answer?' frames a cost angle with minimal motivation; doesn't name target capability clearly or the gap.,"Inline QA pairs + expected visible; but no markdown methodology/scoring rationale, plus stray debug cells printing creds. Partial.",11 distinct models run,score gap 5.325E-4->0.24206666666666665 vs eps=0.05 (pass)
4071,NineGrid Benchmark Task | difficulty: medium | puzzle_id: 2,https://www.kaggle.com/benchmarks/tasks/beta3logic/exact-replication-test,https://www.kaggle.com/code/beta3logic/soduku-vs-llm-task-2,1,0,1,0,0,2,0,,,"Real llm.prompt graded vs dataset solution_grid (verifiable). But fragile: exact str-match, format-dependent parse, all-or-nothing, raw-text fallback conflates formatting.",Prose is just a label+metadata: 'GridCorpus Sudoku benchmark | task_id | resolution_rate'. Names Sudoku but zero motivation/gap.,"No markdown in notebook; dataset path/datasetId identifiable and scoring readable in code, but no schema/scoring-rule prose; must reverse-engineer.",0 distinct models run,<=1 model -> 0
4072,NineGrid Benchmark Task | difficulty: medium | puzzle_id: 3,https://www.kaggle.com/benchmarks/tasks/beta3logic/exact-string-output,https://www.kaggle.com/code/beta3logic/soduku-vs-llm-task-3,1,0,1,0,0,2,0,,,"Real llm.prompt graded vs dataset solution_grid (verifiable). But fragile: exact str-match, format-dependent parse, all-or-nothing, raw-text fallback conflates formatting.",Prose is just a label+metadata: 'GridCorpus Sudoku benchmark | task_id | resolution_rate'. Names Sudoku but zero motivation/gap.,"No markdown in notebook; dataset path/datasetId identifiable and scoring readable in code, but no schema/scoring-rule prose; must reverse-engineer.",0 distinct models run,<=1 model -> 0
4073,NineGrid Benchmark Task | difficulty: medium | puzzle_id: 4,https://www.kaggle.com/benchmarks/tasks/beta3logic/exact-string-replication,https://www.kaggle.com/code/beta3logic/soduku-vs-llm-task-4,1,0,1,0,0,2,0,,,"Real llm.prompt graded vs dataset solution_grid (verifiable). But fragile: exact str-match, format-dependent parse, all-or-nothing, raw-text fallback conflates formatting.",Prose is just a label+metadata: 'GridCorpus Sudoku benchmark | task_id | resolution_rate'. Names Sudoku but zero motivation/gap.,"No markdown in notebook; dataset path/datasetId identifiable and scoring readable in code, but no schema/scoring-rule prose; must reverse-engineer.",0 distinct models run,<=1 model -> 0
