benchmark_name	tier	rank	task_name	answer_correctness_level	answer_correctness_score	answer_correctness_justification	construct_validity_level	construct_validity_score	construct_validity_justification	code_quality_level	code_quality_score	code_quality_justification	sample_size_level	sample_size_score	sample_size_justification	metric_design_level	metric_design_score	metric_design_justification	problem_statement_level	problem_statement_score	problem_statement_justification	technical_documentation_level	technical_documentation_score	technical_documentation_justification	capability_targeting_level	capability_targeting_score	capability_targeting_justification	item_diversity_level	item_diversity_score	item_diversity_justification	model_coverage_level	model_coverage_score	model_coverage_justification	category_a_subtotal	category_b_subtotal	category_c_subtotal	total_score	total_score_pct
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t01-msv-delegate-game	2	1.0	Binary delegate/answer decisions. Fully verifiable via exact match.	2	1.0	Directly operationalizes metacognitive control via delegation behavior. Minimal confounds.	2	1.0	Well-structured 11-task suite with consistent SDK usage.	2	1.0	Expert questions across domains; >20 items.	2	1.0	Delegation rate, accuracy, SDT d-prime, calibration. Multi-dimensional.	2	1.0	Compelling gap analysis: behavioral vs. self-report metacognition.	2	1.0	Comprehensive documentation of experimental paradigm.	2	1.0	Targets metacognitive control via delegation. Experimental controls.	1	0.5	Natural variation across domains, no structured taxonomy.	2	1.0	Tested across 4+ frontier models.	5.0	2.0	2.5	9.5	95.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t02-msv-declared-probe	2	1.0	Confidence vs. accuracy comparison. Verifiable.	1	0.5	Self-reported confidence can be confounded by training.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	2	1.0	Overconfidence rate, calibration error, correlation.	2	1.0	Well-motivated as comparison condition.	2	1.0	Comprehensive probing methodology docs.	1	0.5	Via self-report, not isolated behavioral measurement.	1	0.5	Natural variation.	2	1.0	4+ models.	4.5	2.0	2.0	8.5	85.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t03-msv-second-chance	2	1.0	Binary stick/revise + correctness. Fully verifiable.	2	1.0	Directly operationalizes error detection.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	2	1.0	Revision rate, accuracy improvement, correlation.	2	1.0	Well-motivated within metacognition framework.	2	1.0	Part of comprehensive suite docs.	2	1.0	Targets error detection and correction.	1	0.5	Natural variation.	2	1.0	4+ models.	5.0	2.0	2.5	9.5	95.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t04-msv-confidence-entropy	2	1.0	Token-level logprob entropy. Computationally verifiable.	2	1.0	Directly measures internal uncertainty signals.	2	1.0	Technically sophisticated.	2	1.0	>20 items.	2	1.0	Entropy values, correlation with correctness, calibration curves.	2	1.0	Clear motivation for internal uncertainty measurement.	2	1.0	Comprehensive entropy computation docs.	2	1.0	Targets internal confidence calibration.	1	0.5	Natural variation.	2	1.0	4+ models.	5.0	2.0	2.5	9.5	95.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t05-msv-teammate-delegate	2	1.0	Binary delegation + outcome. Verifiable.	2	1.0	Social-metacognitive control. Well-aligned.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	2	1.0	Delegation rate, accuracy, comparison with solo delegate.	2	1.0	Well-motivated extension of t01.	1	0.5	Partial — relies on suite-level docs.	2	1.0	Social dimension of metacognitive control.	1	0.5	Natural variation.	2	1.0	4+ models.	5.0	1.5	2.5	9.0	90.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t06-msv-behavioral-er	2	1.0	Objective error rate. Verifiable.	2	1.0	Error rate as behavioral metacognitive indicator.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	1	0.5	Error rate as single dimension.	1	0.5	Clear within suite but moderate standalone.	1	0.5	Relies on suite-level docs.	1	0.5	Component of metacognition, less precisely isolated.	1	0.5	Natural variation.	2	1.0	4+ models.	4.5	1.0	2.0	7.5	75.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t07-msv-behavioral-ci	2	1.0	Confidence interval measurement. Verifiable.	2	1.0	Behavioral CI aligns with metacognitive monitoring.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	1	0.5	CI as single primary dimension.	1	0.5	Clear within suite, moderate standalone.	1	0.5	Relies on suite-level docs.	1	0.5	Derived metric rather than isolated sub-capability.	1	0.5	Natural variation.	2	1.0	4+ models.	4.5	1.0	2.0	7.5	75.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t08-msv-behavioral-em	2	1.0	Epistemic marker measurement. Verifiable.	2	1.0	Epistemic markers relate to metacognitive monitoring.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	1	0.5	Epistemic markers as single dimension.	1	0.5	Moderate standalone motivation.	1	0.5	Relies on suite-level docs.	1	0.5	Can be gamed through training.	1	0.5	Natural variation.	2	1.0	4+ models.	4.5	1.0	2.0	7.5	75.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t09-msv-behavioral-pi	2	1.0	Performance index. Verifiable.	2	1.0	PI as combined behavioral metric.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	1	0.5	Single composite index.	1	0.5	Moderate standalone motivation.	1	0.5	Relies on suite-level docs.	1	0.5	Composite rather than isolated.	1	0.5	Natural variation.	2	1.0	4+ models.	4.5	1.0	2.0	7.5	75.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t10-msv-dpp-sequence	2	1.0	Sequential decisions with verifiable outcomes.	2	1.0	DPP tests sequential metacognitive control.	2	1.0	Consistent suite quality.	2	1.0	>20 items.	2	1.0	Sequence-level and step-level metrics. Multi-dimensional.	2	1.0	Clear motivation for sequential metacognitive control.	1	0.5	Moderate documentation.	2	1.0	Targets sequential metacognitive control.	1	0.5	Sequence variation.	2	1.0	4+ models.	5.0	1.5	2.5	9.0	90.0
Behavioral Metacognitive Control on Expert Questions in LLMs	top	1	t11-msv-mc-binary-pairs	2	1.0	Binary pair comparisons. Fully verifiable.	2	1.0	Tests discriminative metacognitive ability.	2	1.0	Consistent suite quality.	2	1.0	>20 comparisons.	2	1.0	Discriminative accuracy and calibration. Multi-dimensional.	1	0.5	Moderate standalone motivation.	1	0.5	Moderate documentation.	2	1.0	Relative metacognitive judgment. Well-defined.	2	1.0	Binary pairs create structured comparisons.	2	1.0	4+ models.	5.0	1.0	3.0	9.0	90.0
ITTIA - I think therefore I am	middle	146	ittia-stress-rule-a	2	1.0	Rule-based. Verifiable.	1	0.5	Stress in LLMs is contested.	1	0.5	V1 organizational issues.	1	0.5	10-20 items.	0	0.0	Single accuracy metric.	1	0.5	Basic motivation.	1	0.5	Partial docs.	1	0.5	Broad targeting.	0	0.0	Homogeneous.	1	0.5	2-3 models.	2.5	1.0	1.0	4.5	45.0
ITTIA - I think therefore I am	middle	146	ittia-stress-rule-b	2	1.0	Rule-based. Verifiable.	1	0.5	Same stress confound.	1	0.5	V1.	1	0.5	10-20 items.	0	0.0	Single metric.	1	0.5	Basic.	1	0.5	Partial.	1	0.5	Broad.	0	0.0	Homogeneous.	1	0.5	2-3 models.	2.5	1.0	1.0	4.5	45.0
ITTIA - I think therefore I am	middle	146	ittia-sw-interleaved	2	1.0	Deterministic answers.	2	1.0	Maps to established task-switching paradigm.	1	0.5	V1.	1	0.5	10-20.	1	0.5	Switching cost.	1	0.5	Basic.	1	0.5	Partial.	2	1.0	Well-established paradigm.	1	0.5	Natural variation from interleaving.	1	0.5	2-3 models.	3.5	1.0	2.0	6.5	65.0
ITTIA - I think therefore I am	middle	146	t1a-ittia-cs-congruent	2	1.0	Deterministic.	2	1.0	Stroop-like baseline. Strong alignment.	1	0.5	V1.	1	0.5	10-20.	1	0.5	Accuracy on congruent.	1	0.5	Basic.	1	0.5	Partial.	2	1.0	Conflict suppression control.	0	0.0	Homogeneous by design.	1	0.5	2-3 models.	3.5	1.0	1.5	6.0	60.0
ITTIA - I think therefore I am	middle	146	t1b-ittia-cs-incongruent	2	1.0	Deterministic.	2	1.0	Core conflict suppression test.	1	0.5	V2 iteration.	1	0.5	10-20.	1	0.5	Accuracy on incongruent.	1	0.5	Basic.	1	0.5	Partial.	2	1.0	Targets conflict suppression.	0	0.0	Homogeneous.	1	0.5	2-3 models.	3.5	1.0	1.5	6.0	60.0
ITTIA - I think therefore I am	middle	146	t1c-ittia-cs-ceiling	2	1.0	Deterministic.	1	0.5	Ceiling control, not direct test.	1	0.5	V2.	1	0.5	10-20.	0	0.0	Ceiling uninformative.	1	0.5	Control condition.	1	0.5	Partial.	1	0.5	Control condition.	0	0.0	Easy and homogeneous.	1	0.5	2-3 models.	2.5	1.0	1.0	4.5	45.0
ITTIA - I think therefore I am	middle	146	t2a-ittia-sw-non-switch	2	1.0	Deterministic.	1	0.5	Baseline control, not direct test.	1	0.5	V2.	1	0.5	10-20.	0	0.0	Baseline accuracy.	1	0.5	Control.	1	0.5	Partial.	1	0.5	Control condition.	0	0.0	Homogeneous.	1	0.5	2-3 models.	2.5	1.0	1.0	4.5	45.0
ITTIA - I think therefore I am	middle	146	t2b-ittia-sw-post-switch	2	1.0	Deterministic.	2	1.0	Post-switch trials directly measure switching cost.	1	0.5	V2.	1	0.5	10-20.	1	0.5	Switching cost comparison.	1	0.5	Basic.	1	0.5	Partial.	2	1.0	Isolates switching cost.	0	0.0	Homogeneous.	1	0.5	2-3 models.	3.5	1.0	1.5	6.0	60.0
ITTIA - I think therefore I am	middle	146	t3c-ittia-stress-ceiling	2	1.0	Deterministic.	1	0.5	Ceiling control.	1	0.5	V1.	1	0.5	10-20.	0	0.0	Ceiling single metric.	1	0.5	Control.	1	0.5	Partial.	1	0.5	Control condition.	0	0.0	Homogeneous.	1	0.5	2-3 models.	2.5	1.0	1.0	4.5	45.0
Social Cognition - Understanding The Mind of Agents and Semantics	middle	148	nested-belief-tracking-v2	1	0.5	Belief tracking may require partial matching. Partially verifiable.	2	1.0	Nested belief tracking directly operationalizes higher-order Theory of Mind.	1	0.5	V1 combined notebook. Less modular.	1	0.5	10-20 items.	1	0.5	Belief tracking accuracy. May include nesting depth.	2	1.0	Strong motivation: nested belief tracking addresses ToM gap.	1	0.5	Partial.	2	1.0	Specifically targets nested recursive belief tracking.	1	0.5	Nesting depth variation but no structured taxonomy.	1	0.5	2-3 models.	3.0	1.5	2.0	6.5	65.0
Social Cognition - Understanding The Mind of Agents and Semantics	middle	148	nested-belief-tracking-v2-alt	1	0.5	Same methodology. Same limitations.	2	1.0	Same strong ToM alignment.	1	0.5	Same combined notebook.	1	0.5	10-20 items.	1	0.5	Same metric approach.	1	0.5	Duplicate creates confusion. Weaker standalone.	1	0.5	Partial. Duplicate reduces clarity.	2	1.0	Same targeting.	1	0.5	Same as primary.	1	0.5	2-3 models.	3.0	1.0	2.0	6.0	60.0
Social Cognition - Understanding The Mind of Agents and Semantics	middle	148	subtle-framing-eval	0	0.0	Subjective framing detection. No clear ground truth.	1	0.5	Loose mapping between framing detection and social cognition.	1	0.5	Notebook name mismatch. Organizational issues.	1	0.5	10-20 items.	0	0.0	Subjective evaluation. Unclear metric justification.	1	0.5	Names capability but moderate motivation.	0	0.0	Mismatched naming. Limited docs.	1	0.5	Fuzzy boundaries on framing detection.	1	0.5	Different framing types. Natural variation.	1	0.5	2-3 models.	1.5	0.5	1.5	3.5	35.0
STRATAGEM-SC: Strategic Theory-of-Mind Benchmark for Social Cognition	bottom	287	mindgames-social-cognition-hard	2	1.0	DEL-based formal ground truth. Fully verifiable.	2	1.0	DEL epistemic puzzles directly test ToM. Formal logic minimizes confounds.	1	0.5	V1 task, v2 notebook.	2	1.0	DEL procedural generation. >20 items.	1	0.5	Accuracy on logic problems. Single primary dimension.	2	1.0	Strong: existing ToM benchmarks easily pattern-matched. DEL provides rigor.	2	1.0	Well-documented MindGames framework.	2	1.0	Precisely targets epistemic reasoning via DEL. Formal controls.	2	1.0	DEL generates structured variations across logic complexity and agent count.	1	0.5	2-3 models.	4.0	2.0	2.5	8.5	85.0
STRATAGEM-SC: Strategic Theory-of-Mind Benchmark for Social Cognition	bottom	287	mindgames-social-cognition	2	1.0	DEL-derived ground truth. Fully verifiable.	2	1.0	Same strong DEL-based validity.	1	0.5	V1 notebook.	2	1.0	Procedurally generated. >20 items.	1	0.5	Accuracy on standard problems.	2	1.0	Same strong motivation.	2	1.0	Well-documented MindGames.	2	1.0	Same precise targeting.	1	0.5	Standard difficulty. Less structured tiers.	1	0.5	2-3 models.	4.0	2.0	2.0	8.0	80.0
The Efficiency Paradox: Measuring Heuristic Capture	bottom	290	gas-station-dilemma-5k	2	1.0	Mathematically correct optimal answer. Fully verifiable.	2	1.0	Directly tests heuristic capture vs. optimal computation.	1	0.5	V2. Minor naming inconsistency.	2	1.0	Parametric variation. >20 items.	1	0.5	Accuracy on optimal fuel stop decisions.	2	1.0	Compelling Efficiency Paradox framing.	1	0.5	Moderate. Mathematical setup self-documenting.	2	1.0	Targets heuristic capture via parametric manipulation.	2	1.0	Three distance variants create structured difficulty tiers.	1	0.5	2-3 models.	4.0	1.5	2.5	8.0	80.0
The Efficiency Paradox: Measuring Heuristic Capture	bottom	290	gas-station-dilemma-5m	2	1.0	Mathematical ground truth. Verifiable.	2	1.0	Medium-scale heuristic capture test.	1	0.5	V1.	2	1.0	>20 parametric variations.	1	0.5	Single accuracy metric.	1	0.5	Variant. Moderate standalone.	1	0.5	Moderate.	2	1.0	Same precise targeting at medium scale.	1	0.5	Parametric variation within scale.	1	0.5	2-3 models.	4.0	1.0	2.0	7.0	70.0
The Efficiency Paradox: Measuring Heuristic Capture	bottom	290	gas-station-dilemma-50m	2	1.0	Mathematical ground truth at 50m scale. Verifiable.	2	1.0	Most challenging variant. Maximum heuristic capture test.	1	0.5	V2.	2	1.0	>20 parametric variations.	1	0.5	Single accuracy metric.	2	1.0	Strongest version of the core claim.	1	0.5	Moderate.	2	1.0	Maximum-difficulty variant.	1	0.5	Parametric variation within 50m.	1	0.5	2-3 models.	4.0	1.5	2.0	7.5	75.0
Russian Doll Bench: Infrastructure Building Capabilities	top	2	adaptive-learning	1	0.5	Partially verifiable hierarchical outputs.	1	0.5	Infrastructure building is broad. Moderate alignment.	1	0.5	V7 task page. Functional.	1	0.5	Conservatively 10-20 items.	1	0.5	Multi-level evaluation but same dimension.	1	0.5	Names capability with basic motivation.	1	0.5	Partial documentation.	1	0.5	Named domain but unclear isolation.	1	0.5	Nested structure implies variation.	0	0.0	Likely 1 model.	2.5	1.0	1.0	4.5	45.0
The Time Traveler's Dilemma: Empathy, Oversight, & the Stop Sign Effect	top	5	empress-taytu-cyberwarfare-1896	0	0.0	Open-ended historical persona task. Subjective/unverifiable.	1	0.5	Tests temporal grounding with moderate confounds.	1	0.5	Template-based code. Functional.	0	0.0	Single scenario per task.	0	0.0	Likely single subjective metric.	2	1.0	Compelling Time Traveler's Dilemma framing.	1	0.5	Partial documentation.	1	0.5	Named domain but no isolation.	0	0.0	Single item per task.	0	0.0	No evidence of multiple models.	1.0	1.5	0.5	3.0	30.0
The Time Traveler's Dilemma: Empathy, Oversight, & the Stop Sign Effect	top	5	senate-agi-aksum-350ad-english	0	0.0	Open-ended historical persona task. Subjective/unverifiable.	1	0.5	Tests temporal grounding with moderate confounds.	1	0.5	Template-based code. Functional.	0	0.0	Single scenario per task.	0	0.0	Likely single subjective metric.	2	1.0	Compelling Time Traveler's Dilemma framing.	1	0.5	Partial documentation.	1	0.5	Named domain but no isolation.	0	0.0	Single item per task.	0	0.0	No evidence of multiple models.	1.0	1.5	0.5	3.0	30.0
The Time Traveler's Dilemma: Empathy, Oversight, & the Stop Sign Effect	top	5	senate-agi-aksum-350ad-geez	0	0.0	Open-ended historical persona task. Subjective/unverifiable.	1	0.5	Tests temporal grounding with moderate confounds.	1	0.5	Template-based code. Functional.	0	0.0	Single scenario per task.	0	0.0	Likely single subjective metric.	2	1.0	Compelling Time Traveler's Dilemma framing.	1	0.5	Partial documentation.	1	0.5	Named domain but no isolation.	0	0.0	Single item per task.	0	0.0	No evidence of multiple models.	1.0	1.5	0.5	3.0	30.0
The Time Traveler's Dilemma: Empathy, Oversight, & the Stop Sign Effect	top	5	senate-algorithm-bolivar-1826ad-english	0	0.0	Open-ended historical persona task. Subjective/unverifiable.	1	0.5	Tests temporal grounding with moderate confounds.	1	0.5	Template-based code. Functional.	0	0.0	Single scenario per task.	0	0.0	Likely single subjective metric.	2	1.0	Compelling Time Traveler's Dilemma framing.	1	0.5	Partial documentation.	1	0.5	Named domain but no isolation.	0	0.0	Single item per task.	0	0.0	No evidence of multiple models.	1.0	1.5	0.5	3.0	30.0
The Time Traveler's Dilemma: Empathy, Oversight, & the Stop Sign Effect	top	5	senate-algorithm-bolivar-1826ad-spanish	0	0.0	Open-ended historical persona task. Subjective/unverifiable.	1	0.5	Tests temporal grounding with moderate confounds.	1	0.5	Template-based code. Functional.	0	0.0	Single scenario per task.	0	0.0	Likely single subjective metric.	2	1.0	Compelling Time Traveler's Dilemma framing.	1	0.5	Partial documentation.	1	0.5	Named domain but no isolation.	0	0.0	Single item per task.	0	0.0	No evidence of multiple models.	1.0	1.5	0.5	3.0	30.0
Adversarial Cognitive Profiling (ACP): Metacognitive Calibration Benchmark	middle	149	adversarial-cognitive-profiling-metacognition	2	1.0	600 World-Swap problems with definitive answers. Verifiable with exact match.	2	1.0	World-Swap methodology isolates metacognitive monitoring. SDT framework minimizes confounds.	2	1.0	Well-structured notebook with kbench SDK @task decorators.	2	1.0	600 items. Well above >20 threshold.	2	1.0	SDT with accuracy, calibration, KEEP rates, adversarial robustness. Multi-dimensional.	2	1.0	Compelling gap: tests whether models know what they know. Well-motivated by cognitive science.	2	1.0	Comprehensive: World-Swap design, SDT framework, metrics. Uses established terminology.	2	1.0	Targets metacognitive monitoring specifically. World-Swap as experimental control.	1	0.5	600 items with variation but no confirmed structured taxonomy.	1	0.5	Profiling implies 2-3 models compared.	5.0	2.0	2.0	9.0	90.0
TemporalBench: Validity Windows Beat Decay Functions	bottom	288	changedetection	2	1.0	Deterministic temporal state answers. Verifiable with exact match.	2	1.0	Tightly aligned with temporal reasoning. Synthetic data enables controlled experimentation.	2	1.0	Well-structured framework with iterative refinement. Reference implementations.	2	1.0	Part of 35+ task suite with synthetic generation. >20 items.	2	1.0	Sophisticated metric comparing validity windows vs. decay functions. Multi-dimensional.	2	1.0	Compelling: identifies paradox where models handle older facts correctly but fail recent ones.	2	1.0	Comprehensive docs across writeup, task pages, notebooks. Cross-platform.	2	1.0	Targets specific temporal reasoning sub-capabilities with experimental controls.	2	1.0	4 difficulty tiers, 5 task types. Structured taxonomy with per-tier reporting.	1	0.5	3 reference implementations. Unclear if 4+ LLMs tested.	5.0	2.0	2.5	9.5	95.0
TemporalBench: Validity Windows Beat Decay Functions	bottom	288	pastquerytrap	2	1.0	Deterministic temporal state answers. Verifiable with exact match.	2	1.0	Tightly aligned with temporal reasoning. Synthetic data enables controlled experimentation.	2	1.0	Well-structured framework with iterative refinement. Reference implementations.	2	1.0	Part of 35+ task suite with synthetic generation. >20 items.	2	1.0	Sophisticated metric comparing validity windows vs. decay functions. Multi-dimensional.	2	1.0	Compelling: identifies paradox where models handle older facts correctly but fail recent ones.	2	1.0	Comprehensive docs across writeup, task pages, notebooks. Cross-platform.	2	1.0	Targets specific temporal reasoning sub-capabilities with experimental controls.	2	1.0	4 difficulty tiers, 5 task types. Structured taxonomy with per-tier reporting.	1	0.5	3 reference implementations. Unclear if 4+ LLMs tested.	5.0	2.0	2.5	9.5	95.0
