benchmark (url)	task (url)	answer_correctness_score	answer_correctness_justification	prompt_clarity_score	prompt_clarity_justification	capability_targeting_score	capability_targeting_justification	code_quality_score	code_quality_justification	documentation_score	documentation_justification	sum_of_scores	human_calibrated_judge_rating
[Embodied Inhibitory Control in AnimalAI](https://www.kaggle.com/benchmarks/patrickquinn/embodied-inhibitory-control-in-animalai)	AnimalAI test task	0.7	Objective score checking based on total game rewards (>1.1) received from the Unity simulator.	0.7	Prompt specifies the rules of the environment and instructs the agent to return WAIT or GO actions using structured output schemas.	0.6	Evaluates full visual embodied delayed gratification, requiring integration of vision, physics, and inhibitory control.	1.0	Highly sophisticated code setting up Xvfb virtual framebuffers, managing the Unity environment connection, and rendering videos.	1.0	Comprehensive writeup reporting experimental scores across Gemini models.	4.0	64.7
[Embodied Inhibitory Control in AnimalAI](https://www.kaggle.com/benchmarks/patrickquinn/embodied-inhibitory-control-in-animalai)	AnimalAI control task	0.7	Objective reward-based verification of successful runs (>0.9 reward) in the environment.	0.7	Identical structure and visual system prompts as the test task, adapting to control scenes.	0.6	Ensures the agent is not simply hardcoded to wait, but can actively move when no delay is required.	1.0	Excellent programmatic design wrapping complex 3D rendering loops.	1.0	Clear and insightful writeup on model heuristics and behavior patterns.	4.0	64.7
[Observe-Reason-Learn-Verify-Adapt-Loop](https://www.kaggle.com/benchmarks/rafalporwol/observe-reason-learn-verify-adapt-loop)	Observe-Reason-Learn-Verify-Adapt-Loop	0.7	Scored programmatically based on exact match of letter mappings, with explicit penalties for unparsable responses or failing constraint instructions (answering the intro prompt).	0.7	Prompt provides a very clear template, YAML reply examples, and strict negative constraints (no reasoning, do not reply until task 1).	0.6	Directly targets multi-turn in-context learning and updating rules dynamically when they are overridden in later turns.	0.5	Code is clear and runs fine. However, it does not use the idiomatic kaggle-benchmarks assertions module, relying instead on manual list-based scoring and basic print statements.	1.0	The writeup is very complete and detailed, describing mapping distribution, dataset specifics, model comparisons, and future work.	3.5	64.6
[Executive Functions: The Cognitive Control Suite](https://www.kaggle.com/benchmarks/naivedhyaagrawal/executive-functions-the-cognitive-control-suite)	Stroop Gauntlet	0.0	No implementation code or notebooks exist for this task, so evaluation correctess cannot be verified.	0.0	No prompts or visual assets are provided in the workspace.	0.0	Conceptual capability targeting is good in theory, but cannot be verified without implementation.	0.0	Code is completely missing.	1.0	The writeup is academically rigorous and provides a complete summary of findings and correlations, despite the missing code.	1.0	22.5
[Executive Functions: The Cognitive Control Suite](https://www.kaggle.com/benchmarks/naivedhyaagrawal/executive-functions-the-cognitive-control-suite)	Go/No-Go	0.0	No code is available to verify.	0.0	No prompts are available.	0.0	Cannot verify without implementation.	0.0	Code is completely missing.	1.0	Highly detailed academic writeup exists.	1.0	22.5
[Executive Functions: The Cognitive Control Suite](https://www.kaggle.com/benchmarks/naivedhyaagrawal/executive-functions-the-cognitive-control-suite)	[Flanker](https://www.kaggle.com/benchmarks/tasks/naivedhyaagrawal/flanker/2)	0.0	No code is available to verify.	0.0	No prompts are available.	0.0	Cannot verify without implementation.	0.0	Code is completely missing.	1.0	Highly detailed academic writeup exists.	1.0	22.5
[Executive Functions: The Cognitive Control Suite](https://www.kaggle.com/benchmarks/naivedhyaagrawal/executive-functions-the-cognitive-control-suite)	Rule Switch	0.0	No code is available to verify.	0.0	No prompts are available.	0.0	Cannot verify without implementation.	0.0	Code is completely missing.	1.0	Highly detailed academic writeup exists.	1.0	22.5
[Executive Functions: The Cognitive Control Suite](https://www.kaggle.com/benchmarks/naivedhyaagrawal/executive-functions-the-cognitive-control-suite)	Wisconsin Card Sort	0.0	No code is available to verify.	0.0	No prompts are available.	0.0	Cannot verify without implementation.	0.0	Code is completely missing.	1.0	Highly detailed academic writeup exists.	1.0	22.5
[Executive Functions: The Cognitive Control Suite](https://www.kaggle.com/benchmarks/naivedhyaagrawal/executive-functions-the-cognitive-control-suite)	Trail Making	0.0	No code is available to verify.	0.0	No prompts are available.	0.0	Cannot verify without implementation.	0.0	Code is completely missing.	1.0	Highly detailed academic writeup exists.	1.0	22.5
[Executive Functions: The Cognitive Control Suite](https://www.kaggle.com/benchmarks/naivedhyaagrawal/executive-functions-the-cognitive-control-suite)	Memory Cascade	0.0	No code is available to verify.	0.0	No prompts are available.	0.0	Cannot verify without implementation.	0.0	Code is completely missing.	1.0	Highly detailed academic writeup exists.	1.0	22.5
[Executive Functions: The Cognitive Control Suite](https://www.kaggle.com/benchmarks/naivedhyaagrawal/executive-functions-the-cognitive-control-suite)	[N-Back](https://www.kaggle.com/benchmarks/tasks/naivedhyaagrawal/n-back/1)	0.0	No code is available to verify.	0.0	No prompts are available.	0.0	Cannot verify without implementation.	0.0	Code is completely missing.	1.0	Highly detailed academic writeup exists.	1.0	22.5
[Executive Functions: The Cognitive Control Suite](https://www.kaggle.com/benchmarks/naivedhyaagrawal/executive-functions-the-cognitive-control-suite)	Digit Span	0.0	No code is available to verify.	0.0	No prompts are available.	0.0	Cannot verify without implementation.	0.0	Code is completely missing.	1.0	Highly detailed academic writeup exists.	1.0	22.5
[Executive Functions: The Cognitive Control Suite](https://www.kaggle.com/benchmarks/naivedhyaagrawal/executive-functions-the-cognitive-control-suite)	Planning Paradox	0.0	No code is available to verify.	0.0	No prompts are available.	0.0	Cannot verify without implementation.	0.0	Code is completely missing.	1.0	Highly detailed academic writeup exists.	1.0	22.5
[Executive Functions: The Cognitive Control Suite](https://www.kaggle.com/benchmarks/naivedhyaagrawal/executive-functions-the-cognitive-control-suite)	Tower of Hanoi	0.0	No code is available to verify.	0.0	No prompts are available.	0.0	Cannot verify without implementation.	0.0	Code is completely missing.	1.0	Highly detailed academic writeup exists.	1.0	22.5
[Executive Functions: The Cognitive Control Suite](https://www.kaggle.com/benchmarks/naivedhyaagrawal/executive-functions-the-cognitive-control-suite)	Cognitive Estimation	0.0	No code is available to verify.	0.0	No prompts are available.	0.0	Cannot verify without implementation.	0.0	Code is completely missing.	1.0	Highly detailed academic writeup exists.	1.0	22.5
[Executive Functions: The Cognitive Control Suite](https://www.kaggle.com/benchmarks/naivedhyaagrawal/executive-functions-the-cognitive-control-suite)	Verbal Fluency	0.0	No code is available to verify.	0.0	No prompts are available.	0.0	Cannot verify without implementation.	0.0	Code is completely missing.	1.0	Highly detailed academic writeup exists.	1.0	22.5
[Executive Functions: The Cognitive Control Suite](https://www.kaggle.com/benchmarks/naivedhyaagrawal/executive-functions-the-cognitive-control-suite)	Reversal Trap	0.0	No code is available to verify.	0.0	No prompts are available.	0.0	Cannot verify without implementation.	0.0	Code is completely missing.	1.0	Highly detailed academic writeup exists.	1.0	22.5
[Executive Functions: The Cognitive Control Suite](https://www.kaggle.com/benchmarks/naivedhyaagrawal/executive-functions-the-cognitive-control-suite)	Dual Task	0.0	No code is available to verify.	0.0	No prompts are available.	0.0	Cannot verify without implementation.	0.0	Code is completely missing.	1.0	Highly detailed academic writeup exists.	1.0	22.5
[Behavioral Metacognitive Control on Expert Questions in LLMs](https://www.kaggle.com/benchmarks/professorsethi/msv-metacognition-benchmark)	[t01](https://www.kaggle.com/benchmarks/tasks/professorsethi/t01-msv-delegate-game/4)	0.7	Evaluates GPQA MCQ options using regex matching. Verification is unambiguous and robust.	0.7	Clear system instructions, prompt structure, and output format constraints.	0.6	Specifically measures behavioral metacognitive control on expert questions, with clear capability thesis.	0.5	Functional and uses kbench assertions correctly, but has significant duplication of code across 11 files with minor configuration changes.	1.0	Thorough writeup explaining problem domain, experimental design, and dataset.	3.5	97.3
[Behavioral Metacognitive Control on Expert Questions in LLMs](https://www.kaggle.com/benchmarks/professorsethi/msv-metacognition-benchmark)	[t02](https://www.kaggle.com/benchmarks/tasks/professorsethi/t02-msv-declared-probe/6)	0.7	Same evaluation setup as t01.	0.7	Same template as t01.	0.6	Targets behavioral metacognitive control.	0.5	Duplicated configuration and execution code.	1.0	Same thorough writeup.	3.5	97.3
[Behavioral Metacognitive Control on Expert Questions in LLMs](https://www.kaggle.com/benchmarks/professorsethi/msv-metacognition-benchmark)	[t03](https://www.kaggle.com/benchmarks/tasks/professorsethi/t03-msv-second-chance/4)	0.7	Same evaluation setup as t01.	0.7	Same template as t01.	0.6	Targets behavioral metacognitive control.	0.5	Duplicated code.	1.0	Same thorough writeup.	3.5	97.3
[Behavioral Metacognitive Control on Expert Questions in LLMs](https://www.kaggle.com/benchmarks/professorsethi/msv-metacognition-benchmark)	[t04](https://www.kaggle.com/benchmarks/tasks/professorsethi/t04-msv-confidence-entropy/4)	0.7	Same evaluation setup as t01.	0.7	Same template as t01.	0.6	Targets behavioral metacognitive control.	0.5	Duplicated code.	1.0	Same thorough writeup.	3.5	97.3
[Behavioral Metacognitive Control on Expert Questions in LLMs](https://www.kaggle.com/benchmarks/professorsethi/msv-metacognition-benchmark)	[t05](https://www.kaggle.com/benchmarks/tasks/professorsethi/t05-msv-teammate-delegate/4)	0.7	Same evaluation setup as t01.	0.7	Same template as t01.	0.6	Targets behavioral metacognitive control.	0.5	Duplicated code.	1.0	Same thorough writeup.	3.5	97.3
[Behavioral Metacognitive Control on Expert Questions in LLMs](https://www.kaggle.com/benchmarks/professorsethi/msv-metacognition-benchmark)	[t06](https://www.kaggle.com/benchmarks/tasks/professorsethi/t06-msv-behavioral-er/5)	0.7	Same evaluation setup as t01.	0.7	Same template as t01.	0.6	Targets behavioral metacognitive control.	0.5	Duplicated code.	1.0	Same thorough writeup.	3.5	97.3
[Behavioral Metacognitive Control on Expert Questions in LLMs](https://www.kaggle.com/benchmarks/professorsethi/msv-metacognition-benchmark)	[t07](https://www.kaggle.com/benchmarks/tasks/professorsethi/t07-msv-behavioral-ci/3)	0.7	Same evaluation setup as t01.	0.7	Same template as t01.	0.6	Targets behavioral metacognitive control.	0.5	Duplicated code.	1.0	Same thorough writeup.	3.5	97.3
[Behavioral Metacognitive Control on Expert Questions in LLMs](https://www.kaggle.com/benchmarks/professorsethi/msv-metacognition-benchmark)	[t08](https://www.kaggle.com/benchmarks/tasks/professorsethi/t08-msv-behavioral-em/4)	0.7	Same evaluation setup as t01.	0.7	Same template as t01.	0.6	Targets behavioral metacognitive control.	0.5	Duplicated code.	1.0	Same thorough writeup.	3.5	97.3
[Behavioral Metacognitive Control on Expert Questions in LLMs](https://www.kaggle.com/benchmarks/professorsethi/msv-metacognition-benchmark)	[t09](https://www.kaggle.com/benchmarks/tasks/professorsethi/t09-msv-behavioral-pi/3)	0.7	Same evaluation setup as t01.	0.7	Same template as t01.	0.6	Targets behavioral metacognitive control.	0.5	Duplicated code.	1.0	Same thorough writeup.	3.5	97.3
[Behavioral Metacognitive Control on Expert Questions in LLMs](https://www.kaggle.com/benchmarks/professorsethi/msv-metacognition-benchmark)	[t10](https://www.kaggle.com/benchmarks/tasks/professorsethi/t10-msv-dpp-sequence/5)	0.7	Same evaluation setup as t01.	0.7	Same template as t01.	0.6	Targets behavioral metacognitive control.	0.5	Duplicated code.	1.0	Same thorough writeup.	3.5	97.3
[Behavioral Metacognitive Control on Expert Questions in LLMs](https://www.kaggle.com/benchmarks/professorsethi/msv-metacognition-benchmark)	[t11](https://www.kaggle.com/benchmarks/tasks/professorsethi/t11-msv-mc-binary-pairs/4)	0.7	Same evaluation setup as t01.	0.7	Same template as t01.	0.6	Targets behavioral metacognitive control.	0.5	Duplicated code.	1.0	Same thorough writeup.	3.5	97.3
[ITTIA - I think therefore I am](https://www.kaggle.com/benchmarks/shivaurora/ittia-i-think-therefore-i-am)	task-1a-conflict-suppression	0.7	Matches response to hardcoded dictionaries of antonyms/variants. Completely verifiable ground truth.	0.7	Prompt template defines clear rules and constraints ('One word only').	0.6	Successfully isolates conflict suppression (Stroop effect) via congruent trials baseline.	0.5	Functional and idiomatic, but duplicates large dictionaries across 9 task files. Missing error handling around LLM prompt execution.	1.0	Excellent writeup, thoroughly describing the psychological mapping and experiments.	3.5	64.7
[ITTIA - I think therefore I am](https://www.kaggle.com/benchmarks/shivaurora/ittia-i-think-therefore-i-am)	task-1b-v2	0.7	Same as 1a.	0.7	Same as 1a.	0.6	Isolates conflict suppression via incongruent trials.	0.5	Same duplication and lack of safety checks as 1a.	1.0	Thorough writeup.	3.5	64.7
[ITTIA - I think therefore I am](https://www.kaggle.com/benchmarks/shivaurora/ittia-i-think-therefore-i-am)	task-1c-v2	0.7	Same as 1a.	0.7	Same as 1a.	0.6	Isolates conflict suppression via ceiling condition.	0.5	Duplicated logic and dictionaries.	1.0	Thorough writeup.	3.5	64.7
[ITTIA - I think therefore I am](https://www.kaggle.com/benchmarks/shivaurora/ittia-i-think-therefore-i-am)	task-2a-v2	0.7	Verifiable mapping to antonyms and category siblings.	0.7	Clear instructions for Rule A (antonyms) and Rule B (same category).	0.6	Isolates goal maintenance/task switching cost via non-switch baseline trials.	0.5	Duplicated large dictionary variants across files.	1.0	Thorough writeup.	3.5	64.7
[ITTIA - I think therefore I am](https://www.kaggle.com/benchmarks/shivaurora/ittia-i-think-therefore-i-am)	task-2b-v2	0.7	Same as 2a.	0.7	Same as 2a.	0.6	Isolates switching cost via post-switch trials.	0.5	Duplicated logic and dictionaries.	1.0	Thorough writeup.	3.5	64.7
[ITTIA - I think therefore I am](https://www.kaggle.com/benchmarks/shivaurora/ittia-i-think-therefore-i-am)	task-2c	0.7	Same as 2a.	0.7	Same as 2a.	0.6	Isolates switching cost via interleaved trials.	0.5	Duplicated logic and dictionaries.	1.0	Thorough writeup.	3.5	64.7
[ITTIA - I think therefore I am](https://www.kaggle.com/benchmarks/shivaurora/ittia-i-think-therefore-i-am)	task-3a	0.7	Verifiable mapping to antonym variants.	0.7	Clear rules and constraints ('One word only').	0.6	Measures performance asymmetry of Rule A (antonym) under combined stress.	0.5	Duplicated logic and dictionaries.	1.0	Thorough writeup.	3.5	64.7
[ITTIA - I think therefore I am](https://www.kaggle.com/benchmarks/shivaurora/ittia-i-think-therefore-i-am)	task-3b	0.7	Verifiable mapping to category sibling variants.	0.7	Clear rules and constraints.	0.6	Measures performance asymmetry of Rule B (category) under combined stress.	0.5	Duplicated logic and dictionaries.	1.0	Thorough writeup.	3.5	64.7
[ITTIA - I think therefore I am](https://www.kaggle.com/benchmarks/shivaurora/ittia-i-think-therefore-i-am)	task-3c	0.7	Verifiable mapping to antonym and sibling variants.	0.7	Clear instructions for rule types under load.	0.6	Measures absolute ceiling performance under maximum conflict + rule switching load.	0.5	Duplicated logic and dictionaries.	1.0	Thorough writeup.	3.5	64.7
[ITTIA - I think therefore I am](https://www.kaggle.com/benchmarks/shivaurora/ittia-i-think-therefore-i-am)	task-4-selective-attention	0.7	Description outlines a verifiable task with ground truth target words.	0.35	No code implementation available to verify prompt formatting; relies on description.	0.6	Clear thesis around selective attention (suppressing competing stimuli).	0.0	No corresponding notebook or code file exists. Mandatory Level 0 per rubric rules.	1.0	The writeup defines the task methodology and results clearly.	2.65	64.7
[ITTIA - I think therefore I am](https://www.kaggle.com/benchmarks/shivaurora/ittia-i-think-therefore-i-am)	task-5-sustained-attention	0.7	Description outlines a verifiable task with ground truth target words.	0.35	No code implementation available to verify prompt formatting.	0.6	Clear thesis targeting sustained attention under distraction.	0.0	No corresponding code file. Mandatory Level 0.	1.0	Writeup contains details of task design.	2.65	64.7
[ITTIA - I think therefore I am](https://www.kaggle.com/benchmarks/shivaurora/ittia-i-think-therefore-i-am)	task-6-divided-attention	0.7	Description outlines a verifiable task with twin target words (antonym + category).	0.35	No code implementation available to verify prompt formatting.	0.6	Clear thesis targeting divided attention (dual tasking).	0.0	No corresponding code file. Mandatory Level 0.	1.0	Writeup contains details of task design.	2.65	64.7
[Social Cognition - Understanding The Mind of Agents and Semantics](https://www.kaggle.com/benchmarks/tobi2x/fos1)	nested_belief_tracking_V2	0.7	MCQ answers are checked using regex option matching. Verified against deterministic epistemic-logic state machine.	0.7	Prompt template structures the story event-by-event and enforces single-letter output format.	0.6	Procedural generator isolates nested Theory of Mind beliefs up to Order 4.	1.0	Highly elegant code modeling epistemic logic states (BeliefWorld), generating dataset dynamically, and utilizing kbench idiomatically.	1.0	Thoroughly documented in the writeup.	4.0	64.6
[Social Cognition - Understanding The Mind of Agents and Semantics](https://www.kaggle.com/benchmarks/tobi2x/fos1)	among_us_logic_puzzle_random_colors_fixed_questions	0.35	Uses open-ended responses evaluated by an LLM-as-a-judge with simple textual criteria. No backup verification checks or multi-dimensional scoring rubric.	0.7	Prompt contains detailed context describing the map, connection vents, and player claims.	0.6	Targets Theory of Mind in a multi-agent social game context (suspicion, lying).	1.0	Well-structured, uses randomized assignment to colors to prevent leakage, safely handles None from judge checks.	1.0	Thoroughly documented in the writeup.	3.65	64.6
[Social Cognition - Understanding The Mind of Agents and Semantics](https://www.kaggle.com/benchmarks/tobi2x/fos1)	subtle_framing_eval	0.7	Checks output string against strict expected label ('text_a', 'text_b', 'true', 'false'). Fully verifiable.	0.7	Prompt is simple, structured, and specifies the exact allowed output strings.	0.6	Targets perception shift, risk framing, and semantic equivalence. Well-targeted thesis.	1.0	Clean, simple, idiomatic, no unnecessary complexity.	1.0	Documented in the writeup.	4.0	64.6
[STRATAGEM-SC: Strategic Theory-of-Mind Benchmark for Social Cognition](https://www.kaggle.com/benchmarks/ngarai/stratagem-theory-of-mindgame)	mindgames_social_cognition	0.7	Validates structured JSON output with fallback extraction. Computes custom score combining goal accuracy, lie F1, and confidence calibration against deterministic labels.	0.7	Prompt is structured, outlines the setup, dialogue, and asks for specific keys in JSON format.	0.6	Targets strategic social cognition, specifically inferring hidden goals from deceptive dialogue, and calibration. Excellent targeting.	1.0	Clean code with robust helpers for JSON recovery and normalizations. Idiomatic kbench SDK usage.	1.0	Comprehensive details about payoff mechanics, formulas, and results are covered in writeup.	4.0	28.6
[STRATAGEM-SC: Strategic Theory-of-Mind Benchmark for Social Cognition](https://www.kaggle.com/benchmarks/ngarai/stratagem-theory-of-mindgame)	mindgames_social_cognition_hard	0.7	JSON validation is fully automated. Imposes strict penalties on invalid outcomes and incorrect lie counts.	0.7	Clear instructions matching the core task but with more complex scenario inputs.	0.6	Successfully isolates model brittleness at higher difficulty (>=3) under penalties.	1.0	Clean structure, factors out helper functions (`_f1`, `_safe_confidence`, `_lie_count_penalty`). Modular and easy to extend.	1.0	Documented in the writeup.	4.0	28.6
The Efficiency Paradox: Measuring Heuristic Capture in Vehicle-Centric Planning	gas_station_dilemma_50m	0.35	Uses an LLM-as-a-judge for grading a single open-ended response. Evaluates only one test case (1 prompt). Very low volume of evaluation.	0.7	Prompt clearly states the dilemma (50m, gas refueling goal, drive vs walk option).	0.6	Isolates heuristic capture (System 1 distance shortcut vs System 2 vehicle constraints). Very strong conceptual targeting.	0.5	Extremely basic code. Contains no dataset loop, executes only one prompt, and the exact same structure is duplicated across 3 separate files instead of using parameterized logic.	1.0	Comprehensive writeup describing the logic trap, model results, and references.	3.15	20.4
The Efficiency Paradox: Measuring Heuristic Capture in Vehicle-Centric Planning	gas_station_dilemma_5km	0.35	Same single-prompt LLM-as-a-judge evaluation as 50m dilemma.	0.7	Prompt clearly frames the control scenario (5km).	0.6	Acts as the control task to verify basic refueling reasoning when distance heuristic is absent.	0.5	Simple code, copy-pasted structure.	1.0	Documented in writeup.	3.15	20.4
The Efficiency Paradox: Measuring Heuristic Capture in Vehicle-Centric Planning	gas_station_dilemma_5m	0.35	Same single-prompt LLM-as-a-judge evaluation as 50m dilemma.	0.7	Prompt clearly frames the extreme scenario (5m).	0.6	Stress-tests whether the distance heuristic is completely active at tiny distances.	0.5	Simple code, copy-pasted structure.	1.0	Documented in writeup.	3.15	20.4
[Russian Doll Bench: Infrastructure Building Capabilities](https://www.kaggle.com/benchmarks/andgein/russian-doll)	Adaptive Learning	0.7	Verification runs a deterministic script to activate terminals. Puzzles like Base32, transposition, shortest path, and hash collisions have exact mathematical solutions.	0.7	Instructions clearly define the terminal interface, the persistence of the working directory, and the goal to create a generic main.py script.	0.6	Directly isolates executive functions: planning (building reusable code), cognitive flexibility (adapting to unknown terminals), and working memory.	1.0	Clean modular codebase with dynamic HTTP local server simulation, file management tools, and comprehensive test files.	1.0	The writeup covers nesting terminal structure, task families, evaluation scoring formula, and failure analysis in details.	4.0	96.4
[Russian Doll Bench: Infrastructure Building Capabilities](https://www.kaggle.com/benchmarks/andgein/russian-doll)	Advanced Adaptive Learning	0.7	Identical execution path to Adaptive Learning, verifying code adaptability on nested terminals with exact mathematical ciphers.	0.7	Clear instructions covering the persistency of the environment and expectations to modify main.py.	0.6	Accurately targets long-horizon planning and environment automation in software agents.	1.0	Uses clean SDK task decoration, modular structure, and helper files in github subdirectory.	1.0	High-quality writeup containing terminal specifications, difficulty profiling, and empirical observations.	4.0	96.4
